----------------------------------------------------------------------------------------------
| element          | number | electronegativity | AtomicMass  | ElectronicStructure  | group |
==============================================================================================
| ae:Sc            | "21"   | "1.36"            | "44.955914" | "[Ar].3d1.4s2"       | "3"   |
| ae:Scandium      | "21"   | "1.36"            | "44.955914" | "[Ar].3d1.4s2"       | "3"   |
| ae:Ti            | "22"   | "1.54"            | "47.867"    | "[Ar].3d2.4s2"       | "4"   |
| ae:Titanium      | "22"   | "1.54"            | "47.867"    | "[Ar].3d2.4s2"       | "4"   |
| ae:V             | "23"   | "1.63"            | "50.9415"   | "[Ar].3d3.4s2"       | "5"   |
| ae:Vanadium      | "23"   | "1.63"            | "50.9415"   | "[Ar].3d3.4s2"       | "5"   |
| ae:Chromium      | "24"   | "1.66"            | "51.9961"   | "[Ar].3d5.4s1"       | "6"   |
| ae:Cr            | "24"   | "1.66"            | "51.9961"   | "[Ar].3d5.4s1"       | "6"   |
| ae:Manganese     | "25"   | "1.55"            | "54.938046" | "[Ar].3d5.4s2"       | "7"   |
| ae:Mn            | "25"   | "1.55"            | "54.938046" | "[Ar].3d5.4s2"       | "7"   |
| ae:Fe            | "26"   | "1.83"            | "55.845"    | "[Ar].3d6.4s2"       | "8"   |
| ae:Iron          | "26"   | "1.83"            | "55.845"    | "[Ar].3d6.4s2"       | "8"   |
| ae:Co            | "27"   | "1.88"            | "58.933193" | "[Ar].3d7.4s2"       | "9"   |
| ae:Cobalt        | "27"   | "1.88"            | "58.933193" | "[Ar].3d7.4s2"       | "9"   |
| ae:Ni            | "28"   | "1.91"            | "58.6934"   | "[Ar].3d8.4s2"       | "10"  |
| ae:Nickel        | "28"   | "1.91"            | "58.6934"   | "[Ar].3d8.4s2"       | "10"  |
| ae:Copper        | "29"   | "1.9"             | "63.546"    | "[Ar].3d10.4s1"      | "11"  |
| ae:Cu            | "29"   | "1.9"             | "63.546"    | "[Ar].3d10.4s1"      | "11"  |
