-------------------------------------------------------------------------
| iron    | iron_radius | element       | element_radius | percent_diff |
=========================================================================
| ae:Fe   | "1.4"       | ae:Mn         | "1.4"          | "0.0"        |
| ae:Fe   | "1.4"       | ae:Nickel     | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:W          | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:Mg         | "1.5"          | "6.666668"   |
| ae:Fe   | "1.4"       | ae:Cu         | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:Zn         | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:Nb         | "1.45"         | "3.4482806"  |
| ae:Fe   | "1.4"       | ae:Ti         | "1.4"          | "0.0"        |
| ae:Fe   | "1.4"       | ae:Mo         | "1.45"         | "3.4482806"  |
| ae:Fe   | "1.4"       | ae:Aluminum   | "1.25"         | "11.999998"  |
| ae:Fe   | "1.4"       | ae:Copper     | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:Sb         | "1.45"         | "3.4482806"  |
| ae:Fe   | "1.4"       | ae:Tin        | "1.45"         | "3.4482806"  |
| ae:Fe   | "1.4"       | ae:Ag         | "1.6"          | "12.500002"  |
| ae:Fe   | "1.4"       | ae:Chromium   | "1.4"          | "0.0"        |
| ae:Fe   | "1.4"       | ae:Hg         | "1.5"          | "6.666668"   |
| ae:Fe   | "1.4"       | ae:Zinc       | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:Tellurium  | "1.4"          | "0.0"        |
| ae:Fe   | "1.4"       | ae:Niobium    | "1.45"         | "3.4482806"  |
| ae:Fe   | "1.4"       | ae:Cobalt     | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:I          | "1.4"          | "0.0"        |
| ae:Fe   | "1.4"       | ae:Zr         | "1.55"         | "9.677419"   |
| ae:Fe   | "1.4"       | ae:In         | "1.55"         | "9.677419"   |
| ae:Fe   | "1.4"       | ae:Tantalum   | "1.45"         | "3.4482806"  |
| ae:Fe   | "1.4"       | ae:Lithium    | "1.45"         | "3.4482806"  |
| ae:Fe   | "1.4"       | ae:Hafnium    | "1.55"         | "9.677419"   |
| ae:Fe   | "1.4"       | ae:Cadmium    | "1.55"         | "9.677419"   |
| ae:Fe   | "1.4"       | ae:Rhodium    | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:Palladium  | "1.4"          | "0.0"        |
| ae:Fe   | "1.4"       | ae:Ru         | "1.3"          | "7.6923094"  |
| ae:Fe   | "1.4"       | ae:Magnesium  | "1.5"          | "6.666668"   |
| ae:Fe   | "1.4"       | ae:Pd         | "1.4"          | "0.0"        |
| ae:Fe   | "1.4"       | ae:Gold       | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:Zirconium  | "1.55"         | "9.677419"   |
| ae:Fe   | "1.4"       | ae:Platinum   | "1.35"         | "3.7037"     |
| ae:Fe   | "1.4"       | ae:Os         | "1.3"          | "7.6923094"  |
| ae:Fe   | "1.4"       | ae:Al         | "1.25"         | "11.999998"  |
